eventID,basisOfRecord,occurrenceID,individualCount,identificationVerificationStatus,scientificName,kingdom,vernacularName
VIS_623,HumanObservation,VIS_623,1,verified by experts,Esox lucius,Animalia,snoek
VIS_627,HumanObservation,VIS_627,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_631,HumanObservation,VIS_631,93,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_632,HumanObservation,VIS_632,104,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_634,HumanObservation,VIS_634,2,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_637,HumanObservation,VIS_637,2,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_638,HumanObservation,VIS_638,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_642,HumanObservation,VIS_642,99,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_645,HumanObservation,VIS_645,103,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_649,HumanObservation,VIS_649,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_650,HumanObservation,VIS_650,10,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_651,HumanObservation,VIS_651,10,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_652,HumanObservation,VIS_652,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_654,HumanObservation,VIS_654,53,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_655,HumanObservation,VIS_655,3,verified by experts,Perca fluviatilis,Animalia,baars
VIS_656,HumanObservation,VIS_656,26,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_657,HumanObservation,VIS_657,92,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_658,HumanObservation,VIS_658,1,verified by experts,Abramis brama,Animalia,brasem
VIS_659,HumanObservation,VIS_659,3,verified by experts,Abramis brama,Animalia,brasem
VIS_660,HumanObservation,VIS_660,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_661,HumanObservation,VIS_661,3,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_662,HumanObservation,VIS_662,2,verified by experts,Cyprinus carpio,Animalia,karper
VIS_663,HumanObservation,VIS_663,1,verified by experts,Cyprinus carpio,Animalia,karper
VIS_667,HumanObservation,VIS_667,3,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_668,HumanObservation,VIS_668,1,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_669,HumanObservation,VIS_669,10,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_670,HumanObservation,VIS_670,81,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_671,HumanObservation,VIS_671,1,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_673,HumanObservation,VIS_673,6,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_674,HumanObservation,VIS_674,8,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_675,HumanObservation,VIS_675,3,verified by experts,Perca fluviatilis,Animalia,baars
VIS_676,HumanObservation,VIS_676,13,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_677,HumanObservation,VIS_677,61,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_678,HumanObservation,VIS_678,15,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_679,HumanObservation,VIS_679,9,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_680,HumanObservation,VIS_680,9,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_681,HumanObservation,VIS_681,8,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_682,HumanObservation,VIS_682,4,verified by experts,Perca fluviatilis,Animalia,baars
VIS_683,HumanObservation,VIS_683,1,verified by experts,Perca fluviatilis,Animalia,baars
VIS_684,HumanObservation,VIS_684,4,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_685,HumanObservation,VIS_685,72,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_686,HumanObservation,VIS_686,1,verified by experts,Pseudorasbora parva,Animalia,blauwbandgrondel
VIS_687,HumanObservation,VIS_687,1,verified by experts,Abramis brama,Animalia,brasem
VIS_688,HumanObservation,VIS_688,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_689,HumanObservation,VIS_689,6,verified by experts,Cyprinus carpio,Animalia,karper
VIS_690,HumanObservation,VIS_690,6,verified by experts,Cyprinus carpio,Animalia,karper
VIS_691,HumanObservation,VIS_691,1,verified by experts,Cyprinus carpio,Animalia,karper
VIS_694,HumanObservation,VIS_694,1,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_695,HumanObservation,VIS_695,7,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_696,HumanObservation,VIS_696,3,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_697,HumanObservation,VIS_697,2,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_698,HumanObservation,VIS_698,87,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_699,HumanObservation,VIS_699,2,verified by experts,Esox lucius,Animalia,snoek
VIS_700,HumanObservation,VIS_700,1,verified by experts,Esox lucius,Animalia,snoek
VIS_701,HumanObservation,VIS_701,1,verified by experts,Tinca tinca,Animalia,zeelt
VIS_702,HumanObservation,VIS_702,1,verified by experts,Tinca tinca,Animalia,zeelt
VIS_703,HumanObservation,VIS_703,4,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_704,HumanObservation,VIS_704,1,verified by experts,Cyprinus carpio,Animalia,karper
VIS_705,HumanObservation,VIS_705,61,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_706,HumanObservation,VIS_706,10,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_707,HumanObservation,VIS_707,21,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_708,HumanObservation,VIS_708,3,verified by experts,Perca fluviatilis,Animalia,baars
VIS_709,HumanObservation,VIS_709,7,verified by experts,Perca fluviatilis,Animalia,baars
VIS_710,HumanObservation,VIS_710,21,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_711,HumanObservation,VIS_711,3,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_712,HumanObservation,VIS_712,1,verified by experts,Cyprinus carpio,Animalia,karper
VIS_715,HumanObservation,VIS_715,3,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_717,HumanObservation,VIS_717,48,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_718,HumanObservation,VIS_718,5,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_719,HumanObservation,VIS_719,4,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_723,HumanObservation,VIS_723,51,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_728,HumanObservation,VIS_728,145,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_729,HumanObservation,VIS_729,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_730,HumanObservation,VIS_730,1,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_731,HumanObservation,VIS_731,27,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_734,HumanObservation,VIS_734,1,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_735,HumanObservation,VIS_735,2,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_736,HumanObservation,VIS_736,37,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_737,HumanObservation,VIS_737,1,verified by experts,Tinca tinca,Animalia,zeelt
VIS_738,HumanObservation,VIS_738,1,verified by experts,Tinca tinca,Animalia,zeelt
VIS_739,HumanObservation,VIS_739,2,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_740,HumanObservation,VIS_740,24,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_741,HumanObservation,VIS_741,3,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_742,HumanObservation,VIS_742,2,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_747,HumanObservation,VIS_747,1,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_748,HumanObservation,VIS_748,6,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_749,HumanObservation,VIS_749,163,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_750,HumanObservation,VIS_750,85,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_751,HumanObservation,VIS_751,57,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_752,HumanObservation,VIS_752,1,verified by experts,Perca fluviatilis,Animalia,baars
VIS_753,HumanObservation,VIS_753,3,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_754,HumanObservation,VIS_754,6,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_755,HumanObservation,VIS_755,2,verified by experts,Cyprinus carpio,Animalia,karper
VIS_756,HumanObservation,VIS_756,2,verified by experts,Cyprinus carpio,Animalia,karper
VIS_758,HumanObservation,VIS_758,1,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_759,HumanObservation,VIS_759,11,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_760,HumanObservation,VIS_760,16,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_761,HumanObservation,VIS_761,160,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_762,HumanObservation,VIS_762,2,verified by experts,Esox lucius,Animalia,snoek
VIS_763,HumanObservation,VIS_763,31,verified by experts,Abramis brama,Animalia,brasem
VIS_764,HumanObservation,VIS_764,100,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_765,HumanObservation,VIS_765,122,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_767,HumanObservation,VIS_767,26,verified by experts,Perca fluviatilis,Animalia,baars
VIS_768,HumanObservation,VIS_768,4,verified by experts,Perca fluviatilis,Animalia,baars
VIS_769,HumanObservation,VIS_769,30,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_771,HumanObservation,VIS_771,1,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_772,HumanObservation,VIS_772,2,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_773,HumanObservation,VIS_773,8,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_774,HumanObservation,VIS_774,125,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_775,HumanObservation,VIS_775,38,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_777,HumanObservation,VIS_777,65,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_778,HumanObservation,VIS_778,1,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_780,HumanObservation,VIS_780,1,verified by experts,Esox lucius,Animalia,snoek
VIS_781,HumanObservation,VIS_781,289,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_792,HumanObservation,VIS_792,1,verified by experts,Pimephales promelas,Animalia,dikkopelrits
VIS_793,HumanObservation,VIS_793,15,verified by experts,Perca fluviatilis,Animalia,baars
