eventID,measurementType,measurementValue,measurementUnit
VIS_23206,weight,15.40,g
VIS_23207,length,10.0,cm
VIS_23207,sampling distance,100.0,meter
VIS_23207,weight,10.40,g
VIS_23208,length,2.4,cm
VIS_23208,sampling distance,100.0,meter
VIS_23208,weight,0.10,g
VIS_23209,sampling distance,100.0,meter
VIS_23209,weight,113.30,g
VIS_23210,length,11.2,cm
VIS_23210,sampling distance,100.0,meter
VIS_23210,weight,21.20,g
VIS_23211,length,9.0,cm
VIS_23211,sampling distance,100.0,meter
VIS_23211,weight,10.90,g
VIS_23212,length,8.0,cm
VIS_23212,sampling distance,100.0,meter
VIS_23212,weight,7.10,g
VIS_23213,length,9.4,cm
VIS_23213,sampling distance,100.0,meter
VIS_23213,weight,12.40,g
VIS_23214,length,8.0,cm
VIS_23214,sampling distance,100.0,meter
VIS_23214,weight,5.80,g
VIS_23215,length,8.4,cm
VIS_23215,sampling distance,100.0,meter
VIS_23215,weight,9.20,g
VIS_23216,length,8.1,cm
VIS_23216,sampling distance,100.0,meter
VIS_23216,weight,6.50,g
VIS_23217,length,6.4,cm
VIS_23217,sampling distance,100.0,meter
VIS_23217,weight,3.00,g
VIS_23218,length,6.0,cm
VIS_23218,sampling distance,100.0,meter
VIS_23218,weight,1.70,g
VIS_23219,length,6.5,cm
VIS_23219,sampling distance,100.0,meter
VIS_23219,weight,3.10,g
VIS_23220,length,7.5,cm
VIS_23220,sampling distance,100.0,meter
VIS_23220,weight,6.00,g
VIS_23221,length,6.0,cm
VIS_23221,sampling distance,100.0,meter
VIS_23221,weight,2.20,g
VIS_23222,length,6.8,cm
VIS_23222,sampling distance,100.0,meter
VIS_23222,weight,3.60,g
VIS_23223,length,7.0,cm
VIS_23223,sampling distance,100.0,meter
VIS_23223,weight,4.30,g
VIS_23224,length,6.2,cm
VIS_23224,sampling distance,100.0,meter
VIS_23224,weight,2.50,g
VIS_23225,length,5.8,cm
VIS_23225,sampling distance,100.0,meter
VIS_23225,weight,2.00,g
VIS_23226,length,5.3,cm
VIS_23226,sampling distance,100.0,meter
VIS_23226,weight,2.10,g
VIS_23227,length,6.0,cm
VIS_23227,sampling distance,100.0,meter
VIS_23227,weight,2.20,g
VIS_23228,length,5.4,cm
VIS_23228,sampling distance,100.0,meter
VIS_23228,weight,2.00,g
VIS_23229,length,5.1,cm
VIS_23229,sampling distance,100.0,meter
VIS_23229,weight,1.70,g
VIS_23230,length,5.2,cm
VIS_23230,sampling distance,100.0,meter
VIS_23230,weight,1.60,g
VIS_23231,length,5.5,cm
VIS_23231,sampling distance,100.0,meter
VIS_23231,weight,1.90,g
VIS_23232,length,5.9,cm
VIS_23232,sampling distance,100.0,meter
VIS_23232,weight,2.40,g
VIS_23233,length,5.0,cm
VIS_23233,sampling distance,100.0,meter
VIS_23233,weight,1.40,g
VIS_23234,length,4.8,cm
VIS_23234,sampling distance,100.0,meter
VIS_23234,weight,1.10,g
VIS_23235,sampling distance,100.0,meter
VIS_23235,weight,36.70,g
VIS_23236,sampling distance,100.0,meter
VIS_23236,weight,9.20,g
VIS_23237,length,10.2,cm
VIS_23237,sampling distance,100.0,meter
VIS_23237,weight,6.70,g
VIS_23238,length,11.0,cm
VIS_23238,sampling distance,100.0,meter
VIS_23238,weight,8.30,g
VIS_23239,length,14.0,cm
VIS_23239,sampling distance,100.0,meter
VIS_23239,weight,15.40,g
VIS_23240,length,10.0,cm
VIS_23240,sampling distance,100.0,meter
